Context,CreatedAt,Dataset,SubDataset,Algorithm,AnomalyThreshold,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-score,F2-score
Background_Filter,1748362298.9190044,ncc,scenario1,Autoencoder,0.1,7927,1613,705,412200,0.9945128951697855,0.9961021040904949,0.9982925854615469,0.9971961418524817,0.9978537188085985
RF_Single_Train-Class_Conditional,1748362318.9681816,ncc,scenario1,Autoencoder,0.1,416038,1807,1648,2952,0.9918214205399519,0.6202983820130279,0.6417391304347826,0.6308366278448552,0.6373332181873138
RF_Single_Train-Anomaly(with Normal),1748362319.0821798,ncc,scenario1,Autoencoder,0.1,417842,3,4327,273,0.9897501449892886,0.9891304347826086,0.059347826086956525,0.11197703035274816,0.07308845577211394
RF_Single_Train-Anomaly(with Botnet),1748362319.2223654,ncc,scenario1,Autoencoder,0.1,417450,395,4599,1,0.9881783427428422,0.0025252525252525255,0.0002173913043478261,0.00040032025620496394,0.0002660140455416046
RF_Single_Train-WithCorrelation,1748362324.841265,ncc,scenario1,Autoencoder,0.1,416073,1772,1648,2952,0.9919042715619785,0.6248941574936494,0.6417391304347826,0.6332046332046332,0.6382978723404256
RF_Single_Train-WithRatio,1748362325.0692923,ncc,scenario1,Autoencoder,0.1,416036,1809,0,4600,0.995717785747257,0.7177406771727258,1.0,0.8356798982650558,0.9270829134588254
RF_Single_Train-WithRatioAfterCorr,1748362325.2952893,ncc,scenario1,Autoencoder,0.1,416071,1774,0,4600,0.9958006367692835,0.721681832444305,1.0,0.8383451795152178,0.9283926697343989
Background_Filter,1748362464.7072668,ncc,scenario2,Autoencoder,0.1,5952,409,259,286417,0.997720424383269,0.9985740483777621,0.9990965410428497,0.9988352263810762,0.9989919987722615
RF_Single_Train-Class_Conditional,1748362482.036597,ncc,scenario2,Autoencoder,0.1,287310,927,182,4618,0.9962154949716248,0.8328223624887285,0.9620833333333333,0.8927984533591107,0.9331178015760759
RF_Single_Train-Anomaly(with Normal),1748362482.1159601,ncc,scenario2,Autoencoder,0.1,288236,1,4491,309,0.9846708777389885,0.9967741935483871,0.064375,0.12093933463796477,0.07919015889287545
RF_Single_Train-Anomaly(with Botnet),1748362482.194931,ncc,scenario2,Autoencoder,0.1,288030,207,4800,0,0.9829134204895628,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748362486.196072,ncc,scenario2,Autoencoder,0.1,287353,884,182,4618,0.996362234120606,0.8393311523082515,0.9620833333333333,0.8965249466123083,0.9347421261436321
RF_Single_Train-WithRatio,1748362486.3520882,ncc,scenario2,Autoencoder,0.1,287310,927,0,4800,0.9968365769510334,0.8381351492928235,1.0,0.9119407238529496,0.9628114093152004
RF_Single_Train-WithRatioAfterCorr,1748362486.5267909,ncc,scenario2,Autoencoder,0.1,287353,884,0,4800,0.9969833161000147,0.844475721323012,1.0,0.9156810377718428,0.9644751647645073
Background_Filter,1748362782.1285086,ncc,scenario3,Autoencoder,0.1,13091,662,478,566892,0.9980382810523761,0.9988335911648936,0.9991575162592312,0.9989955274538207,0.999092714433454
RF_Single_Train-Class_Conditional,1748362797.1743195,ncc,scenario3,Autoencoder,0.1,580710,13,0,400,0.9999776295207727,0.9685230024213075,1.0,0.984009840098401,0.9935419771485345
RF_Single_Train-Anomaly(with Normal),1748362797.317504,ncc,scenario3,Autoencoder,0.1,580428,295,38,362,0.9994269715705625,0.5509893455098934,0.905,0.684957426679281,0.8019494904740806
RF_Single_Train-Anomaly(with Botnet),1748362797.4634435,ncc,scenario3,Autoencoder,0.1,580671,52,400,0,0.9992221956453281,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748362802.9998558,ncc,scenario3,Autoencoder,0.1,580718,5,0,400,0.999991395969528,0.9876543209876543,1.0,0.9937888198757764,0.9975062344139651
RF_Single_Train-WithRatio,1748362803.2528303,ncc,scenario3,Autoencoder,0.1,580710,13,0,400,0.9999776295207727,0.9685230024213075,1.0,0.984009840098401,0.9935419771485345
RF_Single_Train-WithRatioAfterCorr,1748362803.5062485,ncc,scenario3,Autoencoder,0.1,580718,5,0,400,0.999991395969528,0.9876543209876543,1.0,0.9937888198757764,0.9975062344139651
Background_Filter,1748362878.9399137,ncc,scenario4,Autoencoder,0.1,4776,978,438,138687,0.9902263267968443,0.9929975298034582,0.9968517520215634,0.994920908210481,0.9960785158690828
RF_Single_Train-Class_Conditional,1748362894.9854012,ncc,scenario4,Autoencoder,0.1,142638,41,284,1916,0.9977567487351514,0.9790495656617272,0.8709090909090909,0.921818619196536,0.8905828762666171
RF_Single_Train-Anomaly(with Normal),1748362895.0486891,ncc,scenario4,Autoencoder,0.1,142676,3,1983,217,0.986292009193879,0.9863636363636363,0.09863636363636363,0.1793388429752066,0.12028824833702882
RF_Single_Train-Anomaly(with Botnet),1748362895.096198,ncc,scenario4,Autoencoder,0.1,142418,261,2200,0,0.983013411191408,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748362896.2031136,ncc,scenario4,Autoencoder,0.1,142645,34,284,1916,0.9978050649162404,0.9825641025641025,0.8709090909090909,0.9233734939759036,0.8911627906976745
RF_Single_Train-WithRatio,1748362896.266446,ncc,scenario4,Autoencoder,0.1,142638,41,0,2200,0.9997170052250499,0.9817045961624274,1.0,0.990767845079937,0.9962865682456299
RF_Single_Train-WithRatioAfterCorr,1748362896.3297741,ncc,scenario4,Autoencoder,0.1,142645,34,0,2200,0.9997653214061389,0.9847806624888094,1.0,0.9923319801533604,0.9969186151894145
Background_Filter,1748362903.9001203,ncc,scenario5,Autoencoder,0.1,4146,165,67,14206,0.9875161429186397,0.9885185442905852,0.9953058221817418,0.9919005725457338,0.9939409204763304
RF_Single_Train-Class_Conditional,1748362910.729831,ncc,scenario5,Autoencoder,0.1,14715,69,214,3586,0.9847718467498924,0.9811217510259918,0.9436842105263158,0.962038900067069,0.950941394855476
RF_Single_Train-Anomaly(with Normal),1748362910.7435868,ncc,scenario5,Autoencoder,0.1,14784,0,3590,210,0.806823073611709,1.0,0.05526315789473684,0.10473815461346633,0.0681375730045425
RF_Single_Train-Anomaly(with Botnet),1748362910.7572951,ncc,scenario5,Autoencoder,0.1,14579,205,3794,6,0.7848148945329315,0.02843601895734597,0.0015789473684210526,0.0029917726252804786,0.0019466614755693985
RF_Single_Train-WithCorrelation,1748362910.956786,ncc,scenario5,Autoencoder,0.1,14719,65,214,3586,0.9849870856650883,0.9821966584497398,0.9436842105263158,0.9625553616964165,0.9511431754283592
RF_Single_Train-WithRatio,1748362910.9890862,ncc,scenario5,Autoencoder,0.1,14715,69,0,3800,0.9962871287128713,0.9821659343499612,1.0,0.99100273829704,0.9963815616969951
RF_Single_Train-WithRatioAfterCorr,1748362911.0048013,ncc,scenario5,Autoencoder,0.1,14719,65,0,3800,0.9965023676280672,0.9831824062095731,1.0,0.9915198956294846,0.996590611067401
Background_Filter,1748362957.8568535,ncc,scenario6,Autoencoder,0.1,2195,419,214,99577,0.9938186611981836,0.9958098323932957,0.9978555180326883,0.9968316256813506,0.9974457087907684
RF_Single_Train-Class_Conditional,1748362961.427155,ncc,scenario6,Autoencoder,0.1,101190,15,200,1000,0.9979004931399834,0.9852216748768473,0.8333333333333334,0.9029345372460497,0.8598452278589854
RF_Single_Train-Anomaly(with Normal),1748362961.452401,ncc,scenario6,Autoencoder,0.1,101198,7,1200,0,0.9882134661393487,0.0,0.0,0.0,0.0
RF_Single_Train-Anomaly(with Botnet),1748362961.473382,ncc,scenario6,Autoencoder,0.1,101086,119,1200,0,0.9871197695425028,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748362962.3760269,ncc,scenario6,Autoencoder,0.1,101197,8,200,1000,0.9979688491772862,0.9920634920634921,0.8333333333333334,0.9057971014492754,0.8608815426997245
RF_Single_Train-WithRatio,1748362962.4237454,ncc,scenario6,Autoencoder,0.1,101187,18,0,1200,0.9998242273326498,0.9852216748768473,1.0,0.9925558312655087,0.9970089730807578
RF_Single_Train-WithRatioAfterCorr,1748362962.4559247,ncc,scenario6,Autoencoder,0.1,101194,11,0,1200,0.9998925833699527,0.990916597853014,1.0,0.9954375777685608,0.9981700216270172
Background_Filter,1748362968.6705256,ncc,scenario7,Autoencoder,0.1,1981,76,29,14610,0.9937110685194058,0.994825003404603,0.9980189903681945,0.9964194373401535,0.9973785532890964
RF_Single_Train-Class_Conditional,1748362971.9922252,ncc,scenario7,Autoencoder,0.1,14782,114,31,1769,0.9913152850982271,0.9394583112055231,0.9827777777777778,0.9606299212598425,0.9737972035671034
RF_Single_Train-Anomaly(with Normal),1748362972.0039775,ncc,scenario7,Autoencoder,0.1,14896,0,1800,0,0.8921897460469573,0.0,0.0,0.0,0.0
RF_Single_Train-Anomaly(with Botnet),1748362972.0157287,ncc,scenario7,Autoencoder,0.1,14797,99,1800,0,0.88626018207954,0.0,0.0,0.0,0.0
RF_Single_Train-WithCorrelation,1748362972.2645402,ncc,scenario7,Autoencoder,0.1,14789,107,31,1769,0.9917345471969334,0.9429637526652452,0.9827777777777778,0.9624591947769314,0.9745482591449978
RF_Single_Train-WithRatio,1748362972.2804892,ncc,scenario7,Autoencoder,0.1,14782,114,0,1800,0.9931720172496407,0.9404388714733543,1.0,0.9693053311793215,0.9874917709019092
RF_Single_Train-WithRatioAfterCorr,1748362972.2965124,ncc,scenario7,Autoencoder,0.1,14789,107,0,1800,0.9935912793483469,0.9438909281594127,1.0,0.9711356892365794,0.988250796090919
Background_Filter,1748363328.0803173,ncc,scenario8,Autoencoder,0.1,14352,2704,1709,555479,0.9923151134361003,0.9951557105823717,0.9969328126233874,0.996043468944414,0.9965768846420889
RF_Single_Train-Class_Conditional,1748363357.2633836,ncc,scenario8,Autoencoder,0.1,570588,856,661,2139,0.9973582658242838,0.7141903171953256,0.7639285714285714,0.7382226056945643,0.7534343078548785
